127.0.0.1 - - [06/Nov/2023:21:17:58 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/index.jsp HTTP/1.1" 200 25486
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/css/style_home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/aviao.png HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/carteira.png HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/seguranca.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/card1.jpg HTTP/1.1" 200 87050
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/card3.jpg HTTP/1.1" 200 54797
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/card4.jpg HTTP/1.1" 200 77516
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/card5.jpg HTTP/1.1" 200 114145
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/seta.png HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/card2.jpg HTTP/1.1" 200 42243
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/bauneario.jpg HTTP/1.1" 200 89305
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/mala.png HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:19 -0300] "GET /Valonge/assets/images/dubai.jpg HTTP/1.1" 200 6342272
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:20 -0300] "GET /Valonge/assets/images/cruzeiro.jpeg HTTP/1.1" 200 81678
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:20 -0300] "GET /Valonge/assets/images/rj.jpg HTTP/1.1" 200 268959
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:20 -0300] "GET /Valonge/assets/images/Banner1.jpg HTTP/1.1" 200 298956
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:20 -0300] "GET /Valonge/assets/images/cancun.jpg HTTP/1.1" 200 13651256
0:0:0:0:0:0:0:1 - - [06/Nov/2023:21:18:20 -0300] "GET /Valonge/assets/images/roma.jpg HTTP/1.1" 200 2958268
